"sid","uid","bid","summary","created_at","updated_at","deleted","deleted_time","current_goal","current_step","goal_completed"
"S058f268-a650-452b-88cf-b0df683ef1ed","A-fb408bbc-918f-4322-9ef4-5148e0a54cfb","C-CHJB-20M2X0CNFK",NULL,"2026-02-01 02:33:47.868327","2026-02-01 02:33:47.86833",False,NULL,NULL,NULL,False
"Sf0c7465-605e-4ad5-bc3f-4310c66ac5ea","A-e136e131-542e-4ad0-ad1b-f847d2b644da","C-CHJB-VGNSO8N9JV","이력 관리와 제빵 기술자 경력","2026-02-01 08:46:08.370457","2026-02-01 08:46:21.062702",False,NULL,NULL,NULL,False
"Sdc1642c-ecaf-4e27-8311-d5a258c85be1","A-EPJCN5WJVR","C-CHJB-I5P9AL8243","황리단길 베이커리 운영과 디저트 질문","2026-02-01 09:31:38.011503","2026-02-01 09:32:13.498518",False,NULL,NULL,NULL,False
"S0e17b20-a6c4-4ba4-bde6-0b6232c52fab","A-8c1e5cb5-5a57-496e-aa86-f4b0aa7c7afe","C-CHJB-20M2X0CNFK",NULL,"2026-02-01 10:13:40.974494","2026-02-01 10:13:40.974498",False,NULL,NULL,NULL,False
"S2bdd8a5-5e37-4436-8bf1-84c32e43e411","A-e136e131-542e-4ad0-ad1b-f847d2b644da","C-CHJB-YMYUB421E0","여수 오 마이 갓 소개","2026-02-01 10:42:20.071542","2026-02-01 10:42:27.731716",False,NULL,NULL,NULL,False
"S8207bf4-8ca1-4eb2-9c7b-513d299df7a5","A-1eedb087-90ea-4e6c-9c44-4eb5983d9780","C-CHJB-I5P9AL8243","황리단길 인스타그램 정보 요청","2026-02-01 12:06:29.047875","2026-02-01 12:06:37.593404",False,NULL,NULL,NULL,False
"Sd46dd2c-5329-40bf-a3ed-dc68fc475968","A-b29185a9-6a26-4dbc-baf5-a01d6313316c","C-CHJB-J1Q65PCW2W","유명한 도넛 종류 알아보기","2026-02-01 12:51:04.649449","2026-02-01 12:51:21.333904",False,NULL,NULL,NULL,False
"S5c16d08-cdc7-446d-a19b-65c9d3bf9d12","A-aa931ec9-4d8c-4c88-bbd9-0ce53032696f","C-CHJB-R8IAIIL4NQ",NULL,"2026-02-01 12:54:42.728409","2026-02-01 12:54:42.728413",False,NULL,NULL,NULL,False
"Scb02197-faac-45d7-87dd-732f749bae90","A-42fac0a1-ce32-4add-8a6b-e7101c71cc3e","C-CHJB-H0JWSWOX8K",NULL,"2026-02-01 12:55:15.040597","2026-02-01 12:55:15.040601",False,NULL,NULL,NULL,False
"S5569d5b-1c40-4dec-8051-64d18fbb0c29","A-a8453c86-fa2c-4573-8d2b-ffcc54bdcc83","C-CHJB-39DO1OV2F2",NULL,"2026-02-01 13:02:50.79609","2026-02-01 13:02:50.796094",False,NULL,NULL,NULL,False
"Sdaac983-0198-42df-af75-631ff3e96521","A-69f4aef7-9807-4bf8-a921-86dbd9be0260","C-CHJB-V5C1LRVCEF","성수동 수제빵 매장 이름 추천","2026-02-01 13:03:32.72521","2026-02-01 13:03:45.010997",False,NULL,NULL,NULL,False
"S4e5e89d-93b0-4298-83bd-21de332a798a","A-69f4aef7-9807-4bf8-a921-86dbd9be0260","C-CHJB-C7EXVK2RFJ",NULL,"2026-02-01 13:04:17.84744","2026-02-01 13:04:17.847444",False,NULL,NULL,NULL,False
